file,method,http,endpoint,status,assert_kind,has_actingAs,authz_heuristic
tests/Feature/DashboardFeesManagementTest.php,test_audit_logs_require_view_audit_logs_permission,GET,/api/dashboard/fees/{$fee->id}/audit-logs,403,assertForbidden,0,1
tests/Feature/DashboardIssuedLicensesTest.php,test_unauthorized_employee_gets_403,GET,/api/dashboard/licenses,403,assertForbidden,1,1
tests/Feature/DashboardIssuedLicensesTest.php,test_details_history_block_unblock_and_audit,GET,/api/dashboard/licenses/{$license->id}/audit-logs,403,assertForbidden,1,1
tests/Feature/DashboardLicenseIssuanceQueueTest.php,test_can_issue_license_respects_permission,POST,/api/admin/applications/{$application->id}/issue-license,403,assertForbidden,1,1
tests/Feature/DashboardLicenseIssuanceQueueTest.php,test_unauthorized_employee_cannot_access,GET,/api/dashboard/license-issuance/applications,403,assertForbidden,1,1
tests/Feature/DashboardLicenseIssuanceQueueTest.php,test_unauthorized_employee_cannot_access,GET,/api/dashboard/license-issuance/applications/1,403,assertForbidden,1,1
tests/Feature/DashboardLicenseIssuanceQueueTest.php,test_citizen_cannot_access,GET,/api/dashboard/license-issuance/applications,403,assertForbidden,1,1
tests/Feature/DashboardLicenseTypesTest.php,test_citizen_receives_403,GET,/api/dashboard/license-types,403,assertForbidden,1,1
tests/Feature/DashboardLicenseTypesTest.php,test_dashboard_user_without_permission_receives_403,GET,/api/dashboard/license-types,403,assertForbidden,1,1
tests/Feature/DashboardLicenseTypesTest.php,test_dashboard_user_without_permission_receives_403,POST,/api/dashboard/license-types,403,assertForbidden,1,1
tests/Feature/DashboardOverviewTest.php,test_citizen_returns_403,GET,/api/dashboard/overview,403,assertForbidden,1,1
tests/Feature/DashboardPaymentManagementTest.php,test_citizen_cannot_access_dashboard_payments,GET,/api/dashboard/payments,403,assertForbidden,1,1
tests/Feature/DashboardPaymentManagementTest.php,test_employee_without_permission_returns_403,GET,/api/dashboard/payments,403,assertForbidden,1,1
tests/Feature/DashboardPaymentManagementTest.php,test_view_payments_can_list_and_cannot_verify,POST,/api/dashboard/payments/{$payment->id}/verify,403,assertForbidden,0,1
tests/Feature/DashboardPaymentManagementTest.php,test_payment_employee_without_view_audit_logs_denied,GET,/api/dashboard/payments/{$payment->id}/audit-logs,403,assertForbidden,0,1
tests/Feature/DashboardPermissionTest.php,test_profile_reviewer_cannot_manage_employees,GET,/api/dashboard/employees,403,assertForbidden,0,1
tests/Feature/DashboardPermissionTest.php,test_fines_employee_cannot_access_audit_logs,GET,/api/admin/audit-logs,403,assertForbidden,0,1
tests/Feature/DashboardPermissionTest.php,test_employee_without_permission_gets_403,GET,/api/admin/fines,403,assertForbidden,0,1
tests/Feature/DashboardReportsTest.php,test_reports_require_view_reports_permission,GET,/api/dashboard/reports/summary,403,assertForbidden,1,1
tests/Feature/DashboardReportsTest.php,test_domain_report_routes_enforce_permissions,GET,/api/dashboard/reports/applications?period=30d,403,assertForbidden,1,1
tests/Feature/DashboardReportsTest.php,test_domain_report_routes_enforce_permissions,GET,/api/dashboard/reports/fines?period=30d,403,assertForbidden,1,1
tests/Feature/DashboardServiceTypesTest.php,test_citizen_receives_403,GET,/api/dashboard/service-types,403,assertForbidden,1,1
tests/Feature/DashboardServiceTypesTest.php,test_dashboard_user_without_permission_receives_403,GET,/api/dashboard/service-types,403,assertForbidden,1,1
tests/Feature/DashboardTestAppointmentListTest.php,test_unauthorized_employee_cannot_access,GET,/api/dashboard/test-appointments,403,assertForbidden,1,1
tests/Feature/DashboardTestAppointmentListTest.php,test_citizen_cannot_access,GET,/api/dashboard/test-appointments,403,assertForbidden,1,1
tests/Feature/DocumentFlowTest.php,test_citizen_cannot_list_pending_review_documents,GET,/api/admin/documents/pending-review,403,assertForbidden,1,1
tests/Feature/DocumentReviewerAuthorizationTest.php,test_reviewer_can_access_document_review_and_not_general_applications,GET,/api/dashboard/applications,403,assertForbidden,1,1
tests/Feature/DocumentReviewerAuthorizationTest.php,test_reviewer_can_access_document_review_and_not_general_applications,GET,/api/dashboard/applications/,403,assertForbidden,1,1
tests/Feature/EmployeeManagementTest.php,test_non_authorized_employee_cannot_manage_employees,GET,/api/dashboard/employees,403,assertForbidden,1,1
tests/Feature/EmployeeManagementTest.php,test_non_authorized_employee_cannot_manage_employees,POST,/api/dashboard/employees,403,assertForbidden,1,1
tests/Feature/EmployeeManagementTest.php,test_citizen_cannot_list_employees,GET,/api/dashboard/employees,403,assertForbidden,1,1
tests/Feature/EmployeeManagementTest.php,test_unauthorized_cannot_activate_or_deactivate,PATCH,/api/dashboard/employees/{$employee->id}/activate,403,assertForbidden,1,1
tests/Feature/EmployeeManagementTest.php,test_unauthorized_cannot_activate_or_deactivate,PATCH,/api/dashboard/employees/{$employee->id}/deactivate,403,assertForbidden,1,1
tests/Feature/EmployeeManagementTest.php,test_citizen_cannot_activate_or_deactivate,PATCH,/api/dashboard/employees/{$employee->id}/activate,403,assertForbidden,1,1
tests/Feature/EmployeeManagementTest.php,test_citizen_cannot_activate_or_deactivate,PATCH,/api/dashboard/employees/{$employee->id}/deactivate,403,assertForbidden,1,1
tests/Feature/EmployeeManagementTest.php,test_unauthorized_user_cannot_toggle_employee,PATCH,/api/dashboard/employees/{$employee->id}/toggle-active,403,assertForbidden,1,1
tests/Feature/EmployeeManagementTest.php,test_citizen_cannot_toggle_employee,PATCH,/api/dashboard/employees/{$employee->id}/toggle-active,403,assertForbidden,1,1
tests/Feature/EmployeeSessionSecurityTest.php,test_normal_admin_cannot_access_any_management_route,,,403,assertForbidden,0,1
tests/Feature/EmployeeSessionSecurityTest.php,test_normal_admin_cannot_access_any_management_route,POST,/api/dashboard/employee-sessions/,403,assertForbidden,0,1
tests/Feature/EmployeeSessionSecurityTest.php,test_normal_admin_cannot_access_any_management_route,POST,/api/dashboard/employees/,403,assertForbidden,0,1
tests/Feature/LicensePrintingTest.php,test_unauthorized_print_forbidden,POST,/api/dashboard/licenses/{$license->id}/print,403,assertForbidden,1,1
tests/Feature/NotificationCenterApiTest.php,test_unauthenticated_and_employee_are_rejected,GET,/api/notifications/unread-count,403,assertForbidden,1,1
tests/Feature/NotificationCenterApiTest.php,test_unauthenticated_and_employee_are_rejected,PUT,/api/notifications/read-all,403,assertForbidden,1,1
tests/Feature/NotificationCenterApiTest.php,test_unauthenticated_and_employee_are_rejected,GET,/api/notifications,403,assertForbidden,1,1
tests/Feature/OtherLicenseServicesFlowTest.php,test_cannot_use_another_citizens_license,POST,/api/applications,403,assertStatus,1,1
tests/Feature/ProfileApprovalFlowTest.php,test_citizen_cannot_create_application_while_profile_pending_review,POST,/api/applications,403,assertStatus,1,1
tests/Feature/ProfileApprovalFlowTest.php,test_rejected_citizen_cannot_create_application,POST,/api/applications,403,assertStatus,1,1
tests/Feature/ProfileApprovalFlowTest.php,test_citizen_cannot_approve_own_profile,POST,/api/admin/profile-reviews/{$citizen->id}/approve,403,assertForbidden,1,1
tests/Feature/ProfileApprovalFlowTest.php,test_employee_without_review_profiles_permission_cannot_approve,POST,/api/admin/profile-reviews/{$citizen->id}/approve,403,assertForbidden,1,1
tests/Feature/ProfileApprovalFlowTest.php,test_ai_agent_confirm_create_application_fails_when_profile_not_approved,POST,/api/ai-agent/actions/{$action->id}/confirm,403,assertStatus,1,1
tests/Feature/PushDeviceSecurityTest.php,test_employee_is_rejected_by_citizen_middleware,POST,/api/devices/push-token,403,assertForbidden,1,1
tests/Feature/PushDeviceSecurityTest.php,test_employee_is_rejected_by_citizen_middleware,DELETE,/api/devices/push-token,403,assertForbidden,1,1
